"Method name"	"Invocations count"	"Invocation count excluding nested calls"	"Total time"	"Total time excluding nested calls"	"Average time"
Entered	1	1	3555.36	3555.36	3555.36
Render	367	367	234843	234843	639.9
Update	2338	2338	4334.63	4334.63	1.85399
