"Method name"	"Invocations count"	"Invocation count excluding nested calls"	"Total time"	"Total time excluding nested calls"	"Average time"
Load	1	1	1.#INF	1.#INF	1.#INF
AddLights	1	0	1.#INF	-1.#IND	1.#INF
AddCameras	1	0	1.#INF	-1.#IND	1.#INF
Input	205747	205747	1.#INF	1.#INF	1.#INF
Update	205747	205747	1.#INF	1.#INF	1.#INF
