"Method name"	"Invocations count"	"Invocation count excluding nested calls"	"Total time"	"Total time excluding nested calls"	"Average time"
Matrix4D	13820	6927	1387.09	1143.04	0.100368
operator*	6893	6893	1748.21	1748.21	0.253621
operator=	2	2	0.380131	0.380131	0.190065
SetScaleMatrix	4	0	0.760262	0	0.190065
SetPerspectiveProjection	1	0	1.90065	0	1.90065
