"Method name"	"Invocations count"	"Invocation count excluding nested calls"	"Total time"	"Total time excluding nested calls"	"Average time"
Method1	5	5	8.3e+07	8.3e+07	1.66e+07
Method2	150	150	4.7e+08	4.7e+08	3.13333e+06
Method3	4	4	2.08e+09	2.08e+09	5.2e+08
NestedMethod4	66668	0	2.06094e+09	0	30913.4
