"Method name"	"Invocations count"	"Invocation count excluding nested calls"	"Total time"	"Total time excluding nested calls"	"Average time"
Identity	16661	16661	71097.9	71097.9	4.26732
PerspectiveProjection	6	6	55.8314	55.8314	9.30523
OrtographicProjection	3	3	15.4018	15.4018	5.13392
Translation	364288	364287	1.50186e+006	1.50186e+006	4.12273
Scale	15554	15554	65134.8	65134.8	4.18766
RotationEuler	158488	158488	2.66485e+006	2.66485e+006	16.8142
RotationFromVectors	364301	364295	1.49325e+006	1.49322e+006	4.09894
RotationFromDirection	6	6	71.7144	71.7144	11.9524
